Name,Years,Link,Tag
Emily Kubin,2018-2020,https://scholar.google.com/citations?user=_DFHOjkAAAAJ,kubin
Jan Voelkel,2017-2019,https://scholar.google.com/citations?hl=en&user=hqIJURwAAAAJ,voelkel
Bengisu Sezer,2020,https://scholar.google.com/citations?user=J6cATh0AAAAJ,
Hilmar Brohmer,2014-2015,https://scholar.google.com/citations?user=ABM9PC8AAAAJ,
Joeri Wissink,2014,,
Jorick Post,2018-2019,,
Linda Doyle,2017-2018,,
Linda Oosterwijk,2015,,
Mengyu Ye,2016,,
Tim Otten,2017,,
Tunde van Hoek,2015,,
